metric,baseline_model,challenger_model,observed_difference,ci_lower_95,ci_upper_95,bootstrap_seed,bootstrap_replicates,n_queries,conclusion
ndcg_at_10,combined_lexical,lightgbm_ranker,0.024372821418648397,0.021319280107726837,0.027515435694321574,2029,2000,7956,positive interval conditional on fixed model and sample
exact_mrr_at_10,combined_lexical,lightgbm_ranker,0.03595983265100912,0.02969486690687671,0.04250439794863814,2029,2000,7956,positive interval conditional on fixed model and sample
