model,ndcg_at_10,exact_mrr_at_10,es_recall_at_5,complement_exposure_at_5,irrelevant_exposure_at_5,n_queries,es_recall_queries,p50_ms,p95_ms,n_timed_queries
word_tfidf,0.6664962351329096,0.7117187687040627,0.306530598955582,0.04768728004022122,0.1238562091503268,7956,7956,1.5898545000005981,2.1258962499981493,7956
combined_lexical,0.6913854731983733,0.7403072055032839,0.31328136640186516,0.04856711915535445,0.11354952237305178,7956,7956,3.407333500003773,6.19333374999087,7956
lightgbm_ranker,0.7157582946170216,0.7762670381542931,0.3144426360656008,0.04708396178984415,0.11229260935143288,7956,7956,4.267520999995611,7.581572999995956,7956
