query_id,model,ndcg_at_10,exact_mrr_at_10,es_recall_at_5,complement_exposure_at_5,irrelevant_exposure_at_5
160,lightgbm_ranker,0.8729224433662516,1.0,0.6,0.0,0.4
164,word_tfidf,0.6784044774982824,0.5,0.3333333333333333,0.0,0.0
164,combined_lexical,0.801659878414441,1.0,0.3333333333333333,0.0,0.0
164,lightgbm_ranker,0.7326219734931235,1.0,0.26666666666666666,0.0,0.2
165,word_tfidf,0.46631554424324484,0.3333333333333333,0.25,0.0,0.6
165,combined_lexical,0.5387516935457248,0.5,0.25,0.0,0.6
165,lightgbm_ranker,0.6287028242803859,0.5,0.375,0.0,0.4
177,word_tfidf,0.8705603969236957,1.0,0.4444444444444444,0.0,0.2
177,combined_lexical,0.7127241130717128,0.5,0.4444444444444444,0.0,0.2
177,lightgbm_ranker,0.716674294818894,0.5,0.4444444444444444,0.0,0.2
182,word_tfidf,0.6006575873272195,1.0,0.25,0.2,0.6
182,combined_lexical,0.601691721756304,1.0,0.25,0.2,0.6
182,lightgbm_ranker,0.7864096555765087,1.0,0.25,0.2,0.6
184,word_tfidf,0.5697505510128503,1.0,0.15,0.0,0.4
184,combined_lexical,0.6382879860489271,1.0,0.2,0.0,0.2
184,lightgbm_ranker,0.7748672183407941,1.0,0.2,0.0,0.2
185,word_tfidf,0.49736372877216295,1.0,0.125,0.0,0.2
185,combined_lexical,0.3470933842568353,0.3333333333333333,0.125,0.0,0.2
185,lightgbm_ranker,0.5135857722244452,1.0,0.125,0.0,0.2
194,word_tfidf,0.8912779461506627,1.0,0.3333333333333333,0.0,0.4
194,combined_lexical,0.9010991770343871,1.0,0.3333333333333333,0.0,0.4
194,lightgbm_ranker,0.8367113336920484,1.0,0.4444444444444444,0.0,0.2
207,word_tfidf,0.5177595505598848,0.3333333333333333,0.10344827586206896,0.0,0.4
207,combined_lexical,0.4977218508365185,0.5,0.13793103448275862,0.0,0.2
207,lightgbm_ranker,0.6568879596638698,1.0,0.13793103448275862,0.0,0.2
212,word_tfidf,0.2656912846852119,0.16666666666666666,0.10344827586206896,0.0,0.4
212,combined_lexical,0.20606248357626175,0.16666666666666666,0.10344827586206896,0.0,0.4
212,lightgbm_ranker,0.5667939647315944,1.0,0.13793103448275862,0.0,0.2
226,word_tfidf,0.24992909061395915,0.3333333333333333,0.125,0.0,0.2
226,combined_lexical,0.17723965338089365,0.3333333333333333,0.15625,0.0,0.0
226,lightgbm_ranker,0.2174131917736375,0.2,0.125,0.0,0.2
229,word_tfidf,0.42367748493518137,0.5,0.125,0.0,0.4
229,combined_lexical,0.4914459496224289,0.5,0.16666666666666666,0.0,0.2
229,lightgbm_ranker,0.5785447327434426,0.5,0.20833333333333334,0.0,0.0
230,word_tfidf,0.940855282155315,1.0,0.3333333333333333,0.0,0.2
230,combined_lexical,0.475278690466541,0.14285714285714285,0.25,0.0,0.4
230,lightgbm_ranker,0.5118222236645095,0.16666666666666666,0.25,0.0,0.4
247,word_tfidf,0.09219133775883714,0.16666666666666666,0.08333333333333333,0.0,0.8
247,combined_lexical,0.5054996452393712,0.25,0.25,0.2,0.2
247,lightgbm_ranker,0.5535133521378199,0.3333333333333333,0.3333333333333333,0.0,0.2
267,word_tfidf,0.43067655807339306,0.25,1.0,0.0,0.8
267,combined_lexical,0.5,0.3333333333333333,1.0,0.0,0.8
267,lightgbm_ranker,0.6309297535714575,0.5,1.0,0.0,0.8
275,word_tfidf,0.6731769605881095,0.5,0.3125,0.0,0.0
275,combined_lexical,0.7463318694041721,1.0,0.3125,0.0,0.0
275,lightgbm_ranker,0.6274251721692047,1.0,0.3125,0.0,0.0
277,word_tfidf,0.9819164977859505,1.0,0.5555555555555556,0.0,0.0
277,combined_lexical,0.8770154164443982,1.0,0.5555555555555556,0.0,0.0
277,lightgbm_ranker,0.8675262149907305,1.0,0.5555555555555556,0.0,0.0
284,word_tfidf,0.443228390157337,0.3333333333333333,0.25,0.2,0.6
